Name;Title;Co-Authors;Pagintation;Published in;LNCS-link;Abstract
Eva Maia;On the Mother of All Automata: The Position Automaton.;Sabine Broda, Markus Holzer, Nelma Moreira, Rogério Reis;[<span itemprop="pagination">134-146</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_9;We contribute new relations to the taxonomy of different conversions from regular expressions to equivalent finite automata. In particular, we are interested in ordinary transformations that construct automata such as, the follow automaton, the partial derivative automaton, the prefix automaton, the automata based on pointed expressions recently introduced and studied, and last but not least the position, or Glushkov automaton (\(\mathcal {A}_{{{\mathrm{POS}}}}\)), and their double reversed construction counterparts. We deepen the understanding of these constructions and show that with the artefacts used to construct the Glushkov automaton one is able to capture most of them. As a byproduct we define a dual version \(\mathcal {A}_{{{\mathrm{\overleftarrow{{{\mathrm{POS}}}}}}}}\) of the position automaton which plays a similar role as \(\mathcal {A}_{{{\mathrm{POS}}}}\) but now for the reverse expression. It turns out that although the conversion of regular expressions and reversal of regular expressions to finite automata seems quite similar, there are significant differences.
Nelma Moreira;On the Mother of All Automata: The Position Automaton.;Sabine Broda, Markus Holzer, Eva Maia, Rogério Reis;[<span itemprop="pagination">134-146</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_9;We contribute new relations to the taxonomy of different conversions from regular expressions to equivalent finite automata. In particular, we are interested in ordinary transformations that construct automata such as, the follow automaton, the partial derivative automaton, the prefix automaton, the automata based on pointed expressions recently introduced and studied, and last but not least the position, or Glushkov automaton (\(\mathcal {A}_{{{\mathrm{POS}}}}\)), and their double reversed construction counterparts. We deepen the understanding of these constructions and show that with the artefacts used to construct the Glushkov automaton one is able to capture most of them. As a byproduct we define a dual version \(\mathcal {A}_{{{\mathrm{\overleftarrow{{{\mathrm{POS}}}}}}}}\) of the position automaton which plays a similar role as \(\mathcal {A}_{{{\mathrm{POS}}}}\) but now for the reverse expression. It turns out that although the conversion of regular expressions and reversal of regular expressions to finite automata seems quite similar, there are significant differences.
Rogério Reis;On the Mother of All Automata: The Position Automaton.;Sabine Broda, Markus Holzer, Eva Maia, Nelma Moreira;[<span itemprop="pagination">134-146</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_9;We contribute new relations to the taxonomy of different conversions from regular expressions to equivalent finite automata. In particular, we are interested in ordinary transformations that construct automata such as, the follow automaton, the partial derivative automaton, the prefix automaton, the automata based on pointed expressions recently introduced and studied, and last but not least the position, or Glushkov automaton (\(\mathcal {A}_{{{\mathrm{POS}}}}\)), and their double reversed construction counterparts. We deepen the understanding of these constructions and show that with the artefacts used to construct the Glushkov automaton one is able to capture most of them. As a byproduct we define a dual version \(\mathcal {A}_{{{\mathrm{\overleftarrow{{{\mathrm{POS}}}}}}}}\) of the position automaton which plays a similar role as \(\mathcal {A}_{{{\mathrm{POS}}}}\) but now for the reverse expression. It turns out that although the conversion of regular expressions and reversal of regular expressions to finite automata seems quite similar, there are significant differences.
Olivier Carton;Two-Way Two-Tape Automata.;Léo Exibard, Olivier Serre;[<span itemprop="pagination">147-159</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_10;In this article we consider two-way two-tape (alternating) automata accepting pairs of words and we study some closure properties of this model. Our main result is that such alternating automata are not closed under complementation for non-unary alphabets. This improves a similar result of Kari and Moore for picture languages. We also show that these deterministic, non-deterministic and alternating automata are not closed under composition.
Léo Exibard;Two-Way Two-Tape Automata.;Olivier Carton, Olivier Serre;[<span itemprop="pagination">147-159</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_10;In this article we consider two-way two-tape (alternating) automata accepting pairs of words and we study some closure properties of this model. Our main result is that such alternating automata are not closed under complementation for non-unary alphabets. This improves a similar result of Kari and Moore for picture languages. We also show that these deterministic, non-deterministic and alternating automata are not closed under composition.
Olivier Serre;Two-Way Two-Tape Automata.;Olivier Carton, Léo Exibard;[<span itemprop="pagination">147-159</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_10;In this article we consider two-way two-tape (alternating) automata accepting pairs of words and we study some closure properties of this model. Our main result is that such alternating automata are not closed under complementation for non-unary alphabets. This improves a similar result of Kari and Moore for picture languages. We also show that these deterministic, non-deterministic and alternating automata are not closed under composition.
Jörg Endrullis;Undecidability and Finite Automata.;Jeffrey O. Shallit, Tim Smith;[<span itemprop="pagination">160-172</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_11;Using a novel rewriting problem, we show that several natural decision problems about finite automata are undecidable (i.e., recursively unsolvable). In contrast, we also prove three related problems are decidable. We apply one result to prove the undecidability of a related problem about k-automatic sets of rational numbers.
Jeffrey O. Shallit;Undecidability and Finite Automata.;Jörg Endrullis, Tim Smith;[<span itemprop="pagination">160-172</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_11;Using a novel rewriting problem, we show that several natural decision problems about finite automata are undecidable (i.e., recursively unsolvable). In contrast, we also prove three related problems are decidable. We apply one result to prove the undecidability of a related problem about k-automatic sets of rational numbers.
Tim Smith;Undecidability and Finite Automata.;Jörg Endrullis, Jeffrey O. Shallit;[<span itemprop="pagination">160-172</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_11;Using a novel rewriting problem, we show that several natural decision problems about finite automata are undecidable (i.e., recursively unsolvable). In contrast, we also prove three related problems are decidable. We apply one result to prove the undecidability of a related problem about k-automatic sets of rational numbers.
Zsolt Gazdag;On the Power of Permitting Semi-conditional Grammars.;Krisztián Tichler;[<span itemprop="pagination">173-184</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_12;Permitting semi-conditional grammars are such extensions of context-free grammars where each rule is associated with a word v, and such a rule can be applied to a sentential form u only if v is a subword of u. In this paper we show that the class of languages generated by permitting semi-conditional grammars with no erasing rules is strictly included in the class of context-sensitive languages.
Krisztián Tichler;On the Power of Permitting Semi-conditional Grammars.;Zsolt Gazdag;[<span itemprop="pagination">173-184</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_12;Permitting semi-conditional grammars are such extensions of context-free grammars where each rule is associated with a word v, and such a rule can be applied to a sentential form u only if v is a subword of u. In this paper we show that the class of languages generated by permitting semi-conditional grammars with no erasing rules is strictly included in the class of context-sensitive languages.
François Gonze;On the Interplay Between Babai and Černý's Conjectures.;Vladimir V. Gusev, Balázs Gerencsér, Raphaël M. Jungers, Mikhail V. Volkov;[<span itemprop="pagination">185-197</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_13;Motivated by the Babai conjecture and the Černý conjecture, we study the reset thresholds of automata with the transition monoid equal to the full monoid of transformations of the state set. For automata with n states in this class, we prove that the reset thresholds are upper-bounded by \(2n^2-6n+5\) and can attain the value \(\tfrac{n(n-1)}{2}\). In addition, we study diameters of the pair digraphs of permutation automata and construct n-state permutation automata with diameter \(\tfrac{n^2}{4} + o(n^2)\).
Vladimir V. Gusev;On the Interplay Between Babai and Černý's Conjectures.;François Gonze, Balázs Gerencsér, Raphaël M. Jungers, Mikhail V. Volkov;[<span itemprop="pagination">185-197</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_13;Motivated by the Babai conjecture and the Černý conjecture, we study the reset thresholds of automata with the transition monoid equal to the full monoid of transformations of the state set. For automata with n states in this class, we prove that the reset thresholds are upper-bounded by \(2n^2-6n+5\) and can attain the value \(\tfrac{n(n-1)}{2}\). In addition, we study diameters of the pair digraphs of permutation automata and construct n-state permutation automata with diameter \(\tfrac{n^2}{4} + o(n^2)\).
Balázs Gerencsér;On the Interplay Between Babai and Černý's Conjectures.;François Gonze, Vladimir V. Gusev, Raphaël M. Jungers, Mikhail V. Volkov;[<span itemprop="pagination">185-197</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_13;Motivated by the Babai conjecture and the Černý conjecture, we study the reset thresholds of automata with the transition monoid equal to the full monoid of transformations of the state set. For automata with n states in this class, we prove that the reset thresholds are upper-bounded by \(2n^2-6n+5\) and can attain the value \(\tfrac{n(n-1)}{2}\). In addition, we study diameters of the pair digraphs of permutation automata and construct n-state permutation automata with diameter \(\tfrac{n^2}{4} + o(n^2)\).
Raphaël M. Jungers;On the Interplay Between Babai and Černý's Conjectures.;François Gonze, Vladimir V. Gusev, Balázs Gerencsér, Mikhail V. Volkov;[<span itemprop="pagination">185-197</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_13;Motivated by the Babai conjecture and the Černý conjecture, we study the reset thresholds of automata with the transition monoid equal to the full monoid of transformations of the state set. For automata with n states in this class, we prove that the reset thresholds are upper-bounded by \(2n^2-6n+5\) and can attain the value \(\tfrac{n(n-1)}{2}\). In addition, we study diameters of the pair digraphs of permutation automata and construct n-state permutation automata with diameter \(\tfrac{n^2}{4} + o(n^2)\).
Mikhail V. Volkov;On the Interplay Between Babai and Černý's Conjectures.;François Gonze, Vladimir V. Gusev, Balázs Gerencsér, Raphaël M. Jungers;[<span itemprop="pagination">185-197</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_13;Motivated by the Babai conjecture and the Černý conjecture, we study the reset thresholds of automata with the transition monoid equal to the full monoid of transformations of the state set. For automata with n states in this class, we prove that the reset thresholds are upper-bounded by \(2n^2-6n+5\) and can attain the value \(\tfrac{n(n-1)}{2}\). In addition, we study diameters of the pair digraphs of permutation automata and construct n-state permutation automata with diameter \(\tfrac{n^2}{4} + o(n^2)\).
Anaël Grandjean;Differences Between 2D Neighborhoods According to Real Time Computation.;;[<span itemprop="pagination">198-209</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_14;Cellular automata are a parallel model of computation. This paper presents studies about the impact of the choice of the neighborhood on small complexity classes, mainly the real time class. The main result states that given two neighborhoods \(\mathcal {N}\) and \(\mathcal {N}'\), if \(\mathcal {N}\) has a limiting vertex in some direction and \(\mathcal {N}'\) have no vertex in that direction then there is a language recognizable in real time with \(\mathcal {N}'\) and not with \(\mathcal {N}\). One easy corollary is that real time classes for two neighborhoods may be incomparable (and such neighborhoods are easy to construct).
Luisa Herrmann;A Medvedev Characterization of Recognizable Tree Series.;;[<span itemprop="pagination">210-221</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_15;We introduce representable tree series over commutative semirings, which extend representable sets [10] to the weighted setting. We prove that restricted representable tree series are exactly those tree series that can be recognized by weighted tree automata. Moreover, we investigate the relation between unrestricted representable tree series and weighted monadic second-order logic.
Michal Hospodár;On the Descriptive Complexity of $$\overline{\varSigma ^*\overline{L}}$$.;Galina Jirásková, Peter Mlynárcik;[<span itemprop="pagination">222-234</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_16;We examine the descriptive complexity of the combined unary operation \(\overline{\varSigma ^*\overline{L}}\) and investigate the trade-offs between various models of finite automata. We consider complete and partial deterministic finite automata, nondeterministic finite automata with single or multiple initial states, alternating, and boolean finite automata. We assume that the argument and the result of this operation are accepted by automata belonging to one of these six models. We investigate all possible trade-offs and provide a tight upper bound for 32 of 36 of them. The most interesting result is the trade-off from nondeterministic to deterministic automata given by the Dedekind number \({{\mathrm{M}}}(n-1)\). We also prove that the nondeterministic state complexity of \(\overline{\varSigma ^*\overline{L}}\) is \(2^{n-1}\) which solves an open problem stated by Birget [1996, The state complexity of \(\overline{\varSigma ^*\overline{L}}\) and its connection with temporal logic, Inform. Process. Lett. 58, 185–188].
Galina Jirásková;On the Descriptive Complexity of $$\overline{\varSigma ^*\overline{L}}$$.;Michal Hospodár, Peter Mlynárcik;[<span itemprop="pagination">222-234</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_16;We examine the descriptive complexity of the combined unary operation \(\overline{\varSigma ^*\overline{L}}\) and investigate the trade-offs between various models of finite automata. We consider complete and partial deterministic finite automata, nondeterministic finite automata with single or multiple initial states, alternating, and boolean finite automata. We assume that the argument and the result of this operation are accepted by automata belonging to one of these six models. We investigate all possible trade-offs and provide a tight upper bound for 32 of 36 of them. The most interesting result is the trade-off from nondeterministic to deterministic automata given by the Dedekind number \({{\mathrm{M}}}(n-1)\). We also prove that the nondeterministic state complexity of \(\overline{\varSigma ^*\overline{L}}\) is \(2^{n-1}\) which solves an open problem stated by Birget [1996, The state complexity of \(\overline{\varSigma ^*\overline{L}}\) and its connection with temporal logic, Inform. Process. Lett. 58, 185–188].
Peter Mlynárcik;On the Descriptive Complexity of $$\overline{\varSigma ^*\overline{L}}$$.;Michal Hospodár, Galina Jirásková;[<span itemprop="pagination">222-234</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_16;We examine the descriptive complexity of the combined unary operation \(\overline{\varSigma ^*\overline{L}}\) and investigate the trade-offs between various models of finite automata. We consider complete and partial deterministic finite automata, nondeterministic finite automata with single or multiple initial states, alternating, and boolean finite automata. We assume that the argument and the result of this operation are accepted by automata belonging to one of these six models. We investigate all possible trade-offs and provide a tight upper bound for 32 of 36 of them. The most interesting result is the trade-off from nondeterministic to deterministic automata given by the Dedekind number \({{\mathrm{M}}}(n-1)\). We also prove that the nondeterministic state complexity of \(\overline{\varSigma ^*\overline{L}}\) is \(2^{n-1}\) which solves an open problem stated by Birget [1996, The state complexity of \(\overline{\varSigma ^*\overline{L}}\) and its connection with temporal logic, Inform. Process. Lett. 58, 185–188].
Oscar H. Ibarra;Variations of Checking Stack Automata: Obtaining Unexpected Decidability Properties.;Ian McQuillan;[<span itemprop="pagination">235-246</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_17;We introduce a model of one-way language acceptors (a variant of a checking stack automaton) and show the following decidability properties:
Ian McQuillan;Variations of Checking Stack Automata: Obtaining Unexpected Decidability Properties.;Oscar H. Ibarra;[<span itemprop="pagination">235-246</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_17;We introduce a model of one-way language acceptors (a variant of a checking stack automaton) and show the following decidability properties:
Michal Kunc;The Generalized Rank of Trace Languages.;Jan Meitner;[<span itemprop="pagination">247-259</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_18;The notion of rank of a language with respect to an independence alphabet is generalized from concatenations of two words to an arbitrary fixed number of words. It is proved that in the case of free commutative monoids, as well as in the more general case of direct products of free monoids, sequences of ranks of regular languages are exactly non-decreasing sequences that are eventually constant. On the other hand, by uncovering a relationship between rank sequences of regular languages and rational series over the min-plus semiring, it is shown that already for free products of free commutative monoids, rank sequences need not be eventually periodic.
Jan Meitner;The Generalized Rank of Trace Languages.;Michal Kunc;[<span itemprop="pagination">247-259</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_18;The notion of rank of a language with respect to an independence alphabet is generalized from concatenations of two words to an arbitrary fixed number of words. It is proved that in the case of free commutative monoids, as well as in the more general case of direct products of free monoids, sequences of ranks of regular languages are exactly non-decreasing sequences that are eventually constant. On the other hand, by uncovering a relationship between rank sequences of regular languages and rational series over the min-plus semiring, it is shown that already for free products of free commutative monoids, rank sequences need not be eventually periodic.
Kamal Lodaya;Two-Variable First Order Logic with Counting Quantifiers: Complexity Results.;A. V. Sreejith;[<span itemprop="pagination">260-271</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_19;Etessami et al. [5] showed that satisfiability of two-variable first order logic \(\mathrm {FO}^2\)[&lt.] on word models is Nexptime-complete. We extend this upper bound to the slightly stronger logic \(\mathrm {FO}^2\)[\(&lt.,succ ,\equiv \)], which allows checking whether a word position is congruent to r modulo q, for some divisor q and remainder r. If we allow the more powerful modulo counting quantifiers of Straubing, Thérien et al. [22] (we call this two-variable fragment FOmod\(^2\)[\(&lt.,succ \)]), satisfiability becomes Expspace-complete. A more general counting quantifier, FOunC\(^2\)[\(&lt.,succ \)], makes the logic undecidable.
A. V. Sreejith;Two-Variable First Order Logic with Counting Quantifiers: Complexity Results.;Kamal Lodaya;[<span itemprop="pagination">260-271</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_19;Etessami et al. [5] showed that satisfiability of two-variable first order logic \(\mathrm {FO}^2\)[&lt.] on word models is Nexptime-complete. We extend this upper bound to the slightly stronger logic \(\mathrm {FO}^2\)[\(&lt.,succ ,\equiv \)], which allows checking whether a word position is congruent to r modulo q, for some divisor q and remainder r. If we allow the more powerful modulo counting quantifiers of Straubing, Thérien et al. [22] (we call this two-variable fragment FOmod\(^2\)[\(&lt.,succ \)]), satisfiability becomes Expspace-complete. A more general counting quantifier, FOunC\(^2\)[\(&lt.,succ \)], makes the logic undecidable.
Frantisek Mráz;Deleting Deterministic Restarting Automata with Two Windows.;Friedrich Otto;[<span itemprop="pagination">272-283</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_20;We study deterministic restarting automata with two windows. In each cycle of a computation, these det-2-RR-automata can perform up to two delete operations, one with each of their two windows. We study the class of languages accepted by these automata, comparing it to other well-known language classes and exploring closure properties.
Friedrich Otto;Deleting Deterministic Restarting Automata with Two Windows.;Frantisek Mráz;[<span itemprop="pagination">272-283</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_20;We study deterministic restarting automata with two windows. In each cycle of a computation, these det-2-RR-automata can perform up to two delete operations, one with each of their two windows. We study the class of languages accepted by these automata, comparing it to other well-known language classes and exploring closure properties.
Timothy Ng;Relative Prefix Distance Between Languages.;David Rappaport, Kai Salomaa;[<span itemprop="pagination">284-295</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_21;The prefix distance between two words x and y is defined as the number of symbols in x and y that do not belong to their longest common prefix. The relative prefix distance from a language \(L_1\) to a language \(L_2\), if finite, is the smallest integer k such that for every word in \(L_1\), there is a word in \(L_2\) with prefix distance at most k. We study the prefix distance between regular, visibly pushdown, deterministic context-free, and context-free languages. We show how to compute the distance between regular languages and determine whether the distance is bounded. For deterministic context-free languages and visibly pushdown languages, we show that the relative prefix distance to and from regular languages is decidable.
David Rappaport;Relative Prefix Distance Between Languages.;Timothy Ng, Kai Salomaa;[<span itemprop="pagination">284-295</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_21;The prefix distance between two words x and y is defined as the number of symbols in x and y that do not belong to their longest common prefix. The relative prefix distance from a language \(L_1\) to a language \(L_2\), if finite, is the smallest integer k such that for every word in \(L_1\), there is a word in \(L_2\) with prefix distance at most k. We study the prefix distance between regular, visibly pushdown, deterministic context-free, and context-free languages. We show how to compute the distance between regular languages and determine whether the distance is bounded. For deterministic context-free languages and visibly pushdown languages, we show that the relative prefix distance to and from regular languages is decidable.
Kai Salomaa;Relative Prefix Distance Between Languages.;Timothy Ng, David Rappaport;[<span itemprop="pagination">284-295</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_21;The prefix distance between two words x and y is defined as the number of symbols in x and y that do not belong to their longest common prefix. The relative prefix distance from a language \(L_1\) to a language \(L_2\), if finite, is the smallest integer k such that for every word in \(L_1\), there is a word in \(L_2\) with prefix distance at most k. We study the prefix distance between regular, visibly pushdown, deterministic context-free, and context-free languages. We show how to compute the distance between regular languages and determine whether the distance is bounded. For deterministic context-free languages and visibly pushdown languages, we show that the relative prefix distance to and from regular languages is decidable.
Elena A. Petrova;On the Tree of Binary Cube-Free Words.;Arseny M. Shur;[<span itemprop="pagination">296-307</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_22;We present two related results on the prefix tree of all binary cube-free words. First, we show that non-branching paths in this tree are short: such a path from a node of nth level has length \(O(\log n)\). Second, we prove that the lower density of the set of branching points along any infinite path is at least 23/78. Our results are based on a technical theorem describing the mutual location of “almost cubes” in a cube-free word.
Arseny M. Shur;On the Tree of Binary Cube-Free Words.;Elena A. Petrova;[<span itemprop="pagination">296-307</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_22;We present two related results on the prefix tree of all binary cube-free words. First, we show that non-branching paths in this tree are short: such a path from a node of nth level has length \(O(\log n)\). Second, we prove that the lower density of the set of branching points along any infinite path is at least 23/78. Our results are based on a technical theorem describing the mutual location of “almost cubes” in a cube-free word.
Giovanni Pighizzini;Limited Automata and Unary Languages.;Luca Prigioniero;[<span itemprop="pagination">308-319</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_23;Limited automata are one-tape Turing machines that are allowed to rewrite the content of any tape cell only in the first d visits, for a fixed constant d. When \(d=1\) these models characterize regular languages. An exponential gap between the size of limited automata accepting unary languages and the size of equivalent finite automata is proved. Since a similar gap was already known from unary context-free grammars to finite automata, also the conversion of such grammars into limited automata is investigated. It is proved that from each unary context-free grammar it is possible to obtain an equivalent 1-limited automaton whose description has a size which is polynomial in the size of the grammar. Furthermore, despite the exponential gap between the sizes of limited automata and of equivalent unary finite automata, there are unary regular languages for which d-limited automata cannot be significantly smaller than equivalent finite automata, for any arbitrarily large d.
Luca Prigioniero;Limited Automata and Unary Languages.;Giovanni Pighizzini;[<span itemprop="pagination">308-319</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_23;Limited automata are one-tape Turing machines that are allowed to rewrite the content of any tape cell only in the first d visits, for a fixed constant d. When \(d=1\) these models characterize regular languages. An exponential gap between the size of limited automata accepting unary languages and the size of equivalent finite automata is proved. Since a similar gap was already known from unary context-free grammars to finite automata, also the conversion of such grammars into limited automata is investigated. It is proved that from each unary context-free grammar it is possible to obtain an equivalent 1-limited automaton whose description has a size which is polynomial in the size of the grammar. Furthermore, despite the exponential gap between the sizes of limited automata and of equivalent unary finite automata, there are unary regular languages for which d-limited automata cannot be significantly smaller than equivalent finite automata, for any arbitrarily large d.
Gwénaël Richomme;A Characterization of Infinite LSP Words.;;[<span itemprop="pagination">320-331</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_24;G. Fici proved that a finite word has a minimal suffix automaton if and only if all its left special factors occur as prefixes. He called LSP all finite and infinite words having this latter property. We characterize here infinite LSP words in terms of S-adicity. More precisely we provide a finite set of morphisms S and an automaton \(\mathcal{A}\) such that an infinite word is LSP if and only if it is S-adic and all its directive words are recognizable by \(\mathcal{A}\).
Alexander A. Rubtsov;On Computational Complexity of Set Automata.;Mikhail N. Vyalyi;[<span itemprop="pagination">332-344</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_25;We consider a computational model which is known as set automata. The set automata are one-way finite automata with an additional storage—the set. There are two kinds of set automata—the deterministic and the nondeterministic ones. We denote them as DSA and NSA respectively. The model was introduced by M. Kutrib, A. Malcher, M. Wendlandt in 2014 in [<a aria-label="Reference 3" data-test="citation-ref" data-track="click" data-track-action="reference anchor" data-track-label="link" href="#ref-CR3" id="ref-link-section-d12720363e849" title="Kutrib, M., Malcher, A., Wendlandt, M.: Deterministic set automata. In: Shur, A.M., Volkov, M.V. (eds.) DLT 2014. LNCS, vol. 8633, pp. 303–314. Springer, Cham (2014). doi:                      10.1007/978-3-319-09698-8_27                                                  ">3, <a aria-label="Reference 4" data-test="citation-ref" data-track="click" data-track-action="reference anchor" data-track-label="link" href="#ref-CR4" id="ref-link-section-d12720363e852" title="Kutrib, M., Malcher, A., Wendlandt, M.: Regularity and size of set automata. In: Jürgensen, H., Karhumäki, J., Okhotin, A. (eds.) DCFS 2014. LNCS, vol. 8614, pp. 282–293. Springer, Cham (2014). doi:                      10.1007/978-3-319-09704-6_25                                                  ">4]. It was shown that DSA-languages look similar to DCFL due to their closure properties and NSA-languages look similar to CFL due to their undecidability properties.
Mikhail N. Vyalyi;On Computational Complexity of Set Automata.;Alexander A. Rubtsov;[<span itemprop="pagination">332-344</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_25;We consider a computational model which is known as set automata. The set automata are one-way finite automata with an additional storage—the set. There are two kinds of set automata—the deterministic and the nondeterministic ones. We denote them as DSA and NSA respectively. The model was introduced by M. Kutrib, A. Malcher, M. Wendlandt in 2014 in [<a aria-label="Reference 3" data-test="citation-ref" data-track="click" data-track-action="reference anchor" data-track-label="link" href="#ref-CR3" id="ref-link-section-d12720363e849" title="Kutrib, M., Malcher, A., Wendlandt, M.: Deterministic set automata. In: Shur, A.M., Volkov, M.V. (eds.) DLT 2014. LNCS, vol. 8633, pp. 303–314. Springer, Cham (2014). doi:                      10.1007/978-3-319-09698-8_27                                                  ">3, <a aria-label="Reference 4" data-test="citation-ref" data-track="click" data-track-action="reference anchor" data-track-label="link" href="#ref-CR4" id="ref-link-section-d12720363e852" title="Kutrib, M., Malcher, A., Wendlandt, M.: Regularity and size of set automata. In: Jürgensen, H., Karhumäki, J., Okhotin, A. (eds.) DCFS 2014. LNCS, vol. 8614, pp. 282–293. Springer, Cham (2014). doi:                      10.1007/978-3-319-09704-6_25                                                  ">4]. It was shown that DSA-languages look similar to DCFL due to their closure properties and NSA-languages look similar to CFL due to their undecidability properties.
Josef Rukavicka;On the Number of Rich Words.;;[<span itemprop="pagination">345-352</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_26;Any finite word w of length n contains at most \(n+1\) distinct palindromic factors. If the bound \(n+1\) is reached, the word w is called rich. The number of rich words of length n over an alphabet of cardinality q is denoted \(R_q(n)\). For binary alphabet, Rubinchik and Shur deduced that \({R_2(n)}\le c 1.605^n \) for some constant c. In addition, Guo, Shallit and Shur conjectured that the number of rich words grows slightly slower than \(n^{\sqrt{n}}\). We prove that \(\lim \limits _{n\rightarrow \infty }\root n \of {R_q(n)}=1\) for any q, i.e. \(R_q(n)\) has a subexponential growth on any alphabet.
Tomoyuki Yamakami;One-Way Bounded-Error Probabilistic Pushdown Automata and Kolmogorov Complexity - (Preliminary Report).;;[<span itemprop="pagination">353-364</span>];[<meta content="2017" itemprop="datePublished"/>];https://doi.org/10.1007/978-3-319-62809-7_27;One-way probabilistic pushdown automata (or ppda’s) are a simple model of randomized computation with last-in first-out memory device known as stacks and, when error probabilities are bounded away from 1 / 2, ppda’s can characterize a family of bounded-error probabilistic context-free languages (BPCFL). We resolve a fundamental question raised by Hromkovič and Schnitger [Inf. Comput. 208 (2010) 982–995] concerning the limitation of the language recognition power of bounded-error ppda’s. More specifically, we prove that a well-known language—the set of palindromes—cannot be recognized by any bounded-error ppda. in other words, this language stays outside of BPCFL. Furthermore, we show that, with bounded-error probability, no ppda can determine whether the center bit of input string is 1 (one). For those impossibility results, we utilize a complexity measure of algorithmic information known as Kolmogorov complexity. In our proofs, we first transform ppda’s into an ideal shape and then lead to a key lemma by employing a Kolmogorov complexity argument.
