Name;Title;Co-Authors;Pagintation;Published;Venue
Radek Pelánek;Deeper Connections Between LTL and Alternating Automata.;Jan Strejcek;[<span itemprop="pagination">238-249</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Jan Strejcek;Deeper Connections Between LTL and Alternating Automata.;Radek Pelánek;[<span itemprop="pagination">238-249</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Wojciech Rytter;The Structure of Subword Graphs and Suffix Trees of Fibonacci Words.;;[<span itemprop="pagination">250-261</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Christoph Schulte Althoff;Observations on Determinization of Büchi Automata.;Wolfgang Thomas, Nico Wallmeier;[<span itemprop="pagination">262-272</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Wolfgang Thomas;Observations on Determinization of Büchi Automata.;Christoph Schulte Althoff, Nico Wallmeier;[<span itemprop="pagination">262-272</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Nico Wallmeier;Observations on Determinization of Büchi Automata.;Christoph Schulte Althoff, Wolfgang Thomas;[<span itemprop="pagination">262-272</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Tamara Shcherbak;The Interval Rank of Monotonic Automata.;;[<span itemprop="pagination">273-281</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Hariharan Subramanian;Compressing XML Documents Using Recursive Finite State Automata.;Priti Shankar;[<span itemprop="pagination">282-293</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Priti Shankar;Compressing XML Documents Using Recursive Finite State Automata.;Hariharan Subramanian;[<span itemprop="pagination">282-293</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Tadahiro Suda;Non-backtracking Top-Down Algorithm for Checking Tree Automata Containment.;Haruo Hosoya;[<span itemprop="pagination">294-306</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Haruo Hosoya;Non-backtracking Top-Down Algorithm for Checking Tree Automata Containment.;Tadahiro Suda;[<span itemprop="pagination">294-306</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Hellis Tamm;Size Reduction of Multitape Automata.;Matti Nykänen, Esko Ukkonen;[<span itemprop="pagination">307-318</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Matti Nykänen;Size Reduction of Multitape Automata.;Hellis Tamm, Esko Ukkonen;[<span itemprop="pagination">307-318</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Esko Ukkonen;Size Reduction of Multitape Automata.;Hellis Tamm, Matti Nykänen;[<span itemprop="pagination">307-318</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Manuel Vilares Ferro;Robust Spelling Correction.;Juan Otero Pombo, Jesús Vilares Ferro;[<span itemprop="pagination">319-328</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Juan Otero Pombo;Robust Spelling Correction.;Manuel Vilares Ferro, Jesús Vilares Ferro;[<span itemprop="pagination">319-328</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Jesús Vilares Ferro;Robust Spelling Correction.;Manuel Vilares Ferro, Juan Otero Pombo;[<span itemprop="pagination">319-328</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Jan Zdárek;On Two-Dimensional Pattern Matching by Finite Automata.;Borivoj Melichar;[<span itemprop="pagination">329-340</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Borivoj Melichar;On Two-Dimensional Pattern Matching by Finite Automata.;Jan Zdárek;[<span itemprop="pagination">329-340</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Jan Daciuk;Incremental and Semi-incremental Construction of Pseudo-Minimal Automata.;Denis Maurel, Agata Savary;[<span itemprop="pagination">341-342</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Denis Maurel;Incremental and Semi-incremental Construction of Pseudo-Minimal Automata.;Jan Daciuk, Agata Savary;[<span itemprop="pagination">341-342</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Agata Savary;Incremental and Semi-incremental Construction of Pseudo-Minimal Automata.;Jan Daciuk, Denis Maurel;[<span itemprop="pagination">341-342</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Pedro García;Is Learning RFSAs Better Than Learning DFAs?.;José Ruiz, Antonio Cano, Gloria Inés Alvarez;[<span itemprop="pagination">343-344</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
José Ruiz;Is Learning RFSAs Better Than Learning DFAs?.;Pedro García, Antonio Cano, Gloria Inés Alvarez;[<span itemprop="pagination">343-344</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Antonio Cano;Is Learning RFSAs Better Than Learning DFAs?.;Pedro García, José Ruiz, Gloria Inés Alvarez;[<span itemprop="pagination">343-344</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Gloria Inés Alvarez;Is Learning RFSAs Better Than Learning DFAs?.;Pedro García, José Ruiz, Antonio Cano;[<span itemprop="pagination">343-344</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Colin de la Higuera;Learning Stochastic Finite Automata for Musical Style Recognition.;Frédéric Piat, Frédéric Tantini;[<span itemprop="pagination">345-346</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Frédéric Piat;Learning Stochastic Finite Automata for Musical Style Recognition.;Colin de la Higuera, Frédéric Tantini;[<span itemprop="pagination">345-346</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Frédéric Tantini;Learning Stochastic Finite Automata for Musical Style Recognition.;Colin de la Higuera, Frédéric Piat;[<span itemprop="pagination">345-346</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Miklós Krész;Simulation of Soliton Circuits.;;[<span itemprop="pagination">347-348</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
José João Morais;Acyclic Automata with Easy-to-Find Short Regular Expressions.;Nelma Moreira, Rogério Reis;[<span itemprop="pagination">349-350</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Nelma Moreira;Acyclic Automata with Easy-to-Find Short Regular Expressions.;José João Morais, Rogério Reis;[<span itemprop="pagination">349-350</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Rogério Reis;Acyclic Automata with Easy-to-Find Short Regular Expressions.;José João Morais, Nelma Moreira;[<span itemprop="pagination">349-350</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Rimma I. Podlovchenko;On the Equivalence Problem for Programs with Mode Switching.;Dmitry M. Rusakov, Vladimir A. Zakharov;[<span itemprop="pagination">351-352</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Dmitry M. Rusakov;On the Equivalence Problem for Programs with Mode Switching.;Rimma I. Podlovchenko, Vladimir A. Zakharov;[<span itemprop="pagination">351-352</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Vladimir A. Zakharov;On the Equivalence Problem for Programs with Mode Switching.;Rimma I. Podlovchenko, Dmitry M. Rusakov;[<span itemprop="pagination">351-352</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Isabelle Tellier;Automata and AB-Categorial Grammars.;;[<span itemprop="pagination">353-355</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Michael Vielhaber;On a Class of Bijective Binary Transducers with Finitary Description Despite Infinite State Set.;Mónica del Pilar Canales Chacon;[<span itemprop="pagination">356-357</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Mónica del Pilar Canales Chacon;On a Class of Bijective Binary Transducers with Finitary Description Despite Infinite State Set.;Michael Vielhaber;[<span itemprop="pagination">356-357</span>];[<meta content="2005" itemprop="datePublished"/>];<title>dblp: CIAA 2005</title>
Cezar Câmpeanu;Cover Languages and Implementations.;;[<span itemprop="pagination">1</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Helmut Jürgensen;Automata for Codes.;;[<span itemprop="pagination">2-15</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Margus Veanes;Applications of Symbolic Finite Automata.;;[<span itemprop="pagination">16-23</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Houda Abbad;Computing Weights.;Éric Laugerotte;[<span itemprop="pagination">24-35</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Éric Laugerotte;Computing Weights.;Houda Abbad;[<span itemprop="pagination">24-35</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Eric Balkanski;Partial Word DFAs.;Francine Blanchet-Sadri, Matthew Kilgore, Benjamin J. Wyatt;[<span itemprop="pagination">36-47</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Francine Blanchet-Sadri;Partial Word DFAs.;Eric Balkanski, Matthew Kilgore, Benjamin J. Wyatt;[<span itemprop="pagination">36-47</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Matthew Kilgore;Partial Word DFAs.;Eric Balkanski, Francine Blanchet-Sadri, Benjamin J. Wyatt;[<span itemprop="pagination">36-47</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Benjamin J. Wyatt;Partial Word DFAs.;Eric Balkanski, Francine Blanchet-Sadri, Matthew Kilgore;[<span itemprop="pagination">36-47</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Fevzi Belli;Using Regular Grammars for Event-Based Testing.;Mutlu Beyazit;[<span itemprop="pagination">48-59</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Mutlu Beyazit;Using Regular Grammars for Event-Based Testing.;Fevzi Belli;[<span itemprop="pagination">48-59</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Niels Bjørn Bugge Grathwohl;Two-Pass Greedy Regular Expression Parsing.;Fritz Henglein, Lasse Nielsen, Ulrik Terp Rasmussen;[<span itemprop="pagination">60-71</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Fritz Henglein;Two-Pass Greedy Regular Expression Parsing.;Niels Bjørn Bugge Grathwohl, Lasse Nielsen, Ulrik Terp Rasmussen;[<span itemprop="pagination">60-71</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Lasse Nielsen;Two-Pass Greedy Regular Expression Parsing.;Niels Bjørn Bugge Grathwohl, Fritz Henglein, Ulrik Terp Rasmussen;[<span itemprop="pagination">60-71</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Ulrik Terp Rasmussen;Two-Pass Greedy Regular Expression Parsing.;Niels Bjørn Bugge Grathwohl, Fritz Henglein, Lasse Nielsen;[<span itemprop="pagination">60-71</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Janusz A. Brzozowski;Universal Witnesses for State Complexity of Basic Operations Combined with Reversal.;David Liu;[<span itemprop="pagination">72-83</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
David Liu;Universal Witnesses for State Complexity of Basic Operations Combined with Reversal.;Janusz A. Brzozowski;[<span itemprop="pagination">72-83</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Mathieu Caralp;Trimming Visibly Pushdown Automata.;Pierre-Alain Reynier, Jean-Marc Talbot;[<span itemprop="pagination">84-96</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Pierre-Alain Reynier;Trimming Visibly Pushdown Automata.;Mathieu Caralp, Jean-Marc Talbot;[<span itemprop="pagination">84-96</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Jean-Marc Talbot;Trimming Visibly Pushdown Automata.;Mathieu Caralp, Pierre-Alain Reynier;[<span itemprop="pagination">84-96</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Dmitry Chistikov;A Uniformization Theorem for Nested Word to Word Transductions.;Rupak Majumdar;[<span itemprop="pagination">97-108</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Rupak Majumdar;A Uniformization Theorem for Nested Word to Word Transductions.;Dmitry Chistikov;[<span itemprop="pagination">97-108</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Pierpaolo Degano;Towards Nominal Context-Free Model-Checking.;Gian Luigi Ferrari, Gianluca Mezzetti;[<span itemprop="pagination">109-121</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Gian Luigi Ferrari;Towards Nominal Context-Free Model-Checking.;Pierpaolo Degano, Gianluca Mezzetti;[<span itemprop="pagination">109-121</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Gianluca Mezzetti;Towards Nominal Context-Free Model-Checking.;Pierpaolo Degano, Gian Luigi Ferrari;[<span itemprop="pagination">109-121</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Akim Demaille;Implementation Concepts in Vaucanson 2.;Alexandre Duret-Lutz, Sylvain Lombardy, Jacques Sakarovitch;[<span itemprop="pagination">122-133</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Alexandre Duret-Lutz;Implementation Concepts in Vaucanson 2.;Akim Demaille, Sylvain Lombardy, Jacques Sakarovitch;[<span itemprop="pagination">122-133</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Sylvain Lombardy;Implementation Concepts in Vaucanson 2.;Akim Demaille, Alexandre Duret-Lutz, Jacques Sakarovitch;[<span itemprop="pagination">122-133</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Jacques Sakarovitch;Implementation Concepts in Vaucanson 2.;Akim Demaille, Alexandre Duret-Lutz, Sylvain Lombardy;[<span itemprop="pagination">122-133</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Thomas Genet;A Completion Algorithm for Lattice Tree Automata.;Tristan Le Gall, Axel Legay, Valérie Murat;[<span itemprop="pagination">134-145</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Tristan Le Gall;A Completion Algorithm for Lattice Tree Automata.;Thomas Genet, Axel Legay, Valérie Murat;[<span itemprop="pagination">134-145</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Axel Legay;A Completion Algorithm for Lattice Tree Automata.;Thomas Genet, Tristan Le Gall, Valérie Murat;[<span itemprop="pagination">134-145</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Valérie Murat;A Completion Algorithm for Lattice Tree Automata.;Thomas Genet, Tristan Le Gall, Axel Legay;[<span itemprop="pagination">134-145</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Yo-Sub Han;Approximate Matching between a Context-Free Grammar and a Finite-State Automaton.;Sang-Ki Ko, Kai Salomaa;[<span itemprop="pagination">146-157</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Sang-Ki Ko;Approximate Matching between a Context-Free Grammar and a Finite-State Automaton.;Yo-Sub Han, Kai Salomaa;[<span itemprop="pagination">146-157</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Kai Salomaa;Approximate Matching between a Context-Free Grammar and a Finite-State Automaton.;Yo-Sub Han, Sang-Ki Ko;[<span itemprop="pagination">146-157</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Md. Mahbubul Hasan;On Palindromic Sequence Automata and Applications.;A. S. M. Sohidull Islam, M. Sohel Rahman, Ayon Sen;[<span itemprop="pagination">158-168</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
A. S. M. Sohidull Islam;On Palindromic Sequence Automata and Applications.;Md. Mahbubul Hasan, M. Sohel Rahman, Ayon Sen;[<span itemprop="pagination">158-168</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
M. Sohel Rahman;On Palindromic Sequence Automata and Applications.;Md. Mahbubul Hasan, A. S. M. Sohidull Islam, Ayon Sen;[<span itemprop="pagination">158-168</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Ayon Sen;On Palindromic Sequence Automata and Applications.;Md. Mahbubul Hasan, A. S. M. Sohidull Islam, M. Sohel Rahman;[<span itemprop="pagination">158-168</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Patrick Henry;LALBLC A Program Testing the Equivalence of dpda's.;Géraud Sénizergues;[<span itemprop="pagination">169-180</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Géraud Sénizergues;LALBLC A Program Testing the Equivalence of dpda's.;Patrick Henry;[<span itemprop="pagination">169-180</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Markus Holzer;Brzozowski's Minimization Algorithm - More Robust than Expected - (Extended Abstract).;Sebastian Jakobi;[<span itemprop="pagination">181-192</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Sebastian Jakobi;Brzozowski's Minimization Algorithm - More Robust than Expected - (Extended Abstract).;Markus Holzer;[<span itemprop="pagination">181-192</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Oscar H. Ibarra;Some Decision Problems Concerning NPDAs, Palindromes, and Dyck Languages.;Bala Ravikumar;[<span itemprop="pagination">193-207</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Bala Ravikumar;Some Decision Problems Concerning NPDAs, Palindromes, and Dyck Languages.;Oscar H. Ibarra;[<span itemprop="pagination">193-207</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Jozef Jirásek;On the Boundary of Regular Languages.;Galina Jirásková;[<span itemprop="pagination">208-219</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Galina Jirásková;On the Boundary of Regular Languages.;Jozef Jirásek;[<span itemprop="pagination">208-219</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Natalia Kushik;On the Length of Homing Sequences for Nondeterministic Finite State Machines.;Nina Yevtushenko;[<span itemprop="pagination">220-231</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Nina Yevtushenko;On the Length of Homing Sequences for Nondeterministic Finite State Machines.;Natalia Kushik;[<span itemprop="pagination">220-231</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Martin Kutrib;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;Andreas Malcher, Carlo Mereghetti, Beatrice Palano, Matthias Wendlandt;[<span itemprop="pagination">232-243</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Andreas Malcher;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;Martin Kutrib, Carlo Mereghetti, Beatrice Palano, Matthias Wendlandt;[<span itemprop="pagination">232-243</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Carlo Mereghetti;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;Martin Kutrib, Andreas Malcher, Beatrice Palano, Matthias Wendlandt;[<span itemprop="pagination">232-243</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Beatrice Palano;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;Martin Kutrib, Andreas Malcher, Carlo Mereghetti, Matthias Wendlandt;[<span itemprop="pagination">232-243</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Matthias Wendlandt;Input-Driven Queue Automata: Finite Turns, Decidability, and Closure Properties.;Martin Kutrib, Andreas Malcher, Carlo Mereghetti, Beatrice Palano;[<span itemprop="pagination">232-243</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Andreas Maletti;Hyper-optimization for Deterministic Tree Automata.;;[<span itemprop="pagination">244-255</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Frantisek Mráz;Lambda-Confluence Is Undecidable for Clearing Restarting Automata.;Friedrich Otto;[<span itemprop="pagination">256-267</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Friedrich Otto;Lambda-Confluence Is Undecidable for Clearing Restarting Automata.;Frantisek Mráz;[<span itemprop="pagination">256-267</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Daniel Prusa;Comparing Two-Dimensional One-Marker Automata to Sgraffito Automata.;Frantisek Mráz, Friedrich Otto;[<span itemprop="pagination">268-279</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Frantisek Mráz;Comparing Two-Dimensional One-Marker Automata to Sgraffito Automata.;Daniel Prusa, Friedrich Otto;[<span itemprop="pagination">268-279</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Friedrich Otto;Comparing Two-Dimensional One-Marker Automata to Sgraffito Automata.;Daniel Prusa, Frantisek Mráz;[<span itemprop="pagination">268-279</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Stefano Crespi-Reghizzi;Deterministic Counter Machines and Parallel Matching Computations.;Pierluigi San Pietro;[<span itemprop="pagination">280-291</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Pierluigi San Pietro;Deterministic Counter Machines and Parallel Matching Computations.;Stefano Crespi-Reghizzi;[<span itemprop="pagination">280-291</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Denis Debarbieux;Early Nested Word Automata for XPath Query Answering on XML Streams.;Olivier Gauwin, Joachim Niehren, Tom Sebastian, Mohamed Zergaoui;[<span itemprop="pagination">292-305</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Olivier Gauwin;Early Nested Word Automata for XPath Query Answering on XML Streams.;Denis Debarbieux, Joachim Niehren, Tom Sebastian, Mohamed Zergaoui;[<span itemprop="pagination">292-305</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Joachim Niehren;Early Nested Word Automata for XPath Query Answering on XML Streams.;Denis Debarbieux, Olivier Gauwin, Tom Sebastian, Mohamed Zergaoui;[<span itemprop="pagination">292-305</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Tom Sebastian;Early Nested Word Automata for XPath Query Answering on XML Streams.;Denis Debarbieux, Olivier Gauwin, Joachim Niehren, Mohamed Zergaoui;[<span itemprop="pagination">292-305</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Mohamed Zergaoui;Early Nested Word Automata for XPath Query Answering on XML Streams.;Denis Debarbieux, Olivier Gauwin, Joachim Niehren, Tom Sebastian;[<span itemprop="pagination">292-305</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Klaus Sutner;Invertible Transducers, Iteration and Coordinates.;;[<span itemprop="pagination">306-318</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Tomohiro I;Compressed Automata for Dictionary Matching.;Takaaki Nishimoto, Shunsuke Inenaga, Hideo Bannai, Masayuki Takeda;[<span itemprop="pagination">319-330</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Takaaki Nishimoto;Compressed Automata for Dictionary Matching.;Tomohiro I, Shunsuke Inenaga, Hideo Bannai, Masayuki Takeda;[<span itemprop="pagination">319-330</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Shunsuke Inenaga;Compressed Automata for Dictionary Matching.;Tomohiro I, Takaaki Nishimoto, Hideo Bannai, Masayuki Takeda;[<span itemprop="pagination">319-330</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Hideo Bannai;Compressed Automata for Dictionary Matching.;Tomohiro I, Takaaki Nishimoto, Shunsuke Inenaga, Masayuki Takeda;[<span itemprop="pagination">319-330</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Masayuki Takeda;Compressed Automata for Dictionary Matching.;Tomohiro I, Takaaki Nishimoto, Shunsuke Inenaga, Hideo Bannai;[<span itemprop="pagination">319-330</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Aloïs Dreyfus;Enhancing Approximations for Regular Reachability Analysis.;Pierre-Cyrille Héam, Olga Kouchnarenko;[<span itemprop="pagination">331-339</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Pierre-Cyrille Héam;Enhancing Approximations for Regular Reachability Analysis.;Aloïs Dreyfus, Olga Kouchnarenko;[<span itemprop="pagination">331-339</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Olga Kouchnarenko;Enhancing Approximations for Regular Reachability Analysis.;Aloïs Dreyfus, Pierre-Cyrille Héam;[<span itemprop="pagination">331-339</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Andrzej Kisielewicz;Generating Small Automata and the Černý Conjecture.;Marek Szykula;[<span itemprop="pagination">340-348</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Marek Szykula;Generating Small Automata and the Černý Conjecture.;Andrzej Kisielewicz;[<span itemprop="pagination">340-348</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Eva Maia;Incomplete Transition Complexity of Basic Operations on Finite Languages.;Nelma Moreira, Rogério Reis;[<span itemprop="pagination">349-356</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Nelma Moreira;Incomplete Transition Complexity of Basic Operations on Finite Languages.;Eva Maia, Rogério Reis;[<span itemprop="pagination">349-356</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Rogério Reis;Incomplete Transition Complexity of Basic Operations on Finite Languages.;Eva Maia, Nelma Moreira;[<span itemprop="pagination">349-356</span>];[<meta content="2013" itemprop="datePublished"/>];<title>dblp: CIAA 2013</title>
Hermann Gruber;On 25 Years of CIAA Through the Lens of Data Science.;Markus Holzer, Christian Rauch;[<span itemprop="pagination">3-18</span>];[<meta content="2022" itemprop="datePublished"/>];<title>dblp: CIAA 2022</title>
Markus Holzer;On 25 Years of CIAA Through the Lens of Data Science.;Hermann Gruber, Christian Rauch;[<span itemprop="pagination">3-18</span>];[<meta content="2022" itemprop="datePublished"/>];<title>dblp: CIAA 2022</title>
